رقم التكليف,المقر,تاريخ القياس,نظام القياس ,المحول,اتجاه السكينة,قدرةالسكينة,قياس التيار R,قياس التيار S,قياس التيار T,قياس التيار N,الجهد بين الفازات RS,الجهد بين الفازات RT,الجهد بين الفازات ST,الجهد بين الفازات RN,الجهد بين الفازات SN,الجهد بين الفازات TN
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,شمالي,400,15,18,23,9,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,شرقي,400,5,18,13,10,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,غربي,400,30,20,10,23,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,جنوبي,400,10,3,20,14,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,شمالي اضافية,630,65,56,37,45,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية 2,شرقي,400,35,23,37,0,415,412,416,239,241,237
3172,الوسطى,05/08/2023,صيفي,ابراج الهدى,شرقي,400,5,5,6,2,400,399,400,230,230,228
3172,الوسطى,05/08/2023,صيفي,ابراج الهدى,غربي,250,9,18,17,7,400,399,400,230,230,228
3156,الوسطى,02/08/2023,صيفي,ابو العوف,شمالي,630,50,15,40,0,385,390,387,220,222,223
3156,الوسطى,02/08/2023,صيفي,ابو العوف,شرقي,630,60,145,140,90,385,390,387,220,222,223
3156,الوسطى,02/08/2023,صيفي,ابو العوف,جنوبي,630,30,40,122,90,385,390,387,220,222,223
3016,الوسطى,03/07/2023,صيفي,ابو جميزة,شمالي,400,2,0,0,0,384,380,386,221,223,218
3016,الوسطى,03/07/2023,صيفي,ابو جميزة,غربي,630,84,72,84,12,384,380,386,221,223,218
3016,الوسطى,03/07/2023,صيفي,ابو جميزة,جنوبي,630,153,85,125,65,384,380,386,221,223,218
3153,الوسطى,03/08/2023,صيفي,ابو حسني,1,400,75,100,95,25,385,385,380,220,224,220
3153,الوسطى,03/08/2023,صيفي,ابو حسني,2,400,70,105,80,40,385,385,380,220,224,220
3153,الوسطى,03/08/2023,صيفي,ابو حسني,3,400,65,70,45,20,385,385,380,220,224,220
3153,الوسطى,03/08/2023,صيفي,ابو حسني,4,400,20,30,40,15,385,385,380,220,224,220
3179,الوسطى,08/08/2023,صيفي,ابو سلطان سكان,شرقي,630,72,75,80,29,400,400,401,230,230,230
3179,الوسطى,08/08/2023,صيفي,ابو سلطان سكان,غربي,630,75,74,35,35,400,400,401,230,230,230
3179,الوسطى,08/08/2023,صيفي,ابو سلطان سكان,جنوبي,630,20,15,10,10,400,400,401,230,230,230
3139,الوسطى,31/07/2023,صيفي,ابو سليم,شمالي,630,70,109,107,0,385,384,380,222,220,220
3139,الوسطى,31/07/2023,صيفي,ابو سليم,شرقي,630,74,82,114,40,385,384,380,222,220,220
3139,الوسطى,31/07/2023,صيفي,ابو سليم,غربي,630,62,22,114,0,385,384,380,222,220,220
3139,الوسطى,31/07/2023,صيفي,ابو سليم 2,شرقي,630,55,37,116,60,372,371,370,212,216,213
3139,الوسطى,31/07/2023,صيفي,ابو سليم 2,جنوبي,630,136,140,144,35,372,371,370,212,216,213
3049,الوسطى,11/07/2023,صيفي,ابو عريف 3 - الزريعي,لوحة سكادا ض.م,400,41,63,8,46,397,395,391,226,227,229
3049,الوسطى,11/07/2023,صيفي,ابو عريف 3 - الزريعي,لوحة سكادا ض.م,400,82,67,68,26,397,395,391,226,227,229
3049,الوسطى,11/07/2023,صيفي,ابو عريف 3 - الزريعي,لوحة سكادا ض.م,400,65,39,34,25,397,395,391,226,227,229
3049,الوسطى,11/07/2023,صيفي,ابو عريف 3 - الزريعي,لوحة سكادا ض.م,400,22,24,15,6,397,395,391,226,227,229
3034,الوسطى,09/07/2023,صيفي,ابو فياض,شمالي,630,77,55,47,30,400,400,400,230,230,230
3034,الوسطى,09/07/2023,صيفي,ابو فياض,شرقي,400,73,71,85,25,400,400,400,230,230,230
3034,الوسطى,09/07/2023,صيفي,ابو فياض,جنوبي,630,116,118,107,40,400,400,400,230,230,230
3228,الوسطى,20/08/2023,صيفي,ابو ندى - الحبيبي,شمالي,630,135,75,132,60,378,378,378,212,212,212
3228,الوسطى,20/08/2023,صيفي,ابو ندى - الحبيبي,غربي,630,205,8,100,120,378,378,378,212,212,212
3228,الوسطى,20/08/2023,صيفي,ابو ندى - الحبيبي,جنوبي,630,100,112,45,60,378,378,378,212,212,212
3165,الوسطى,06/08/2023,صيفي,ابو هولي - ام ظهير,شمالي,630,50,35,35,14,378,377,378,221,212,210
3165,الوسطى,06/08/2023,صيفي,ابو هولي - ام ظهير,شرقي,400,117,66,63,0,378,377,378,221,212,210
3165,الوسطى,06/08/2023,صيفي,ابو هولي - ام ظهير,غربي,630,40,32,20,10,378,377,378,221,212,210
3165,الوسطى,06/08/2023,صيفي,ابو هولي - ام ظهير,جنوبي,400,65,51,23,0,378,377,378,221,212,210
3249,الوسطى,27/08/2023,صيفي,ابو هولي - صلاح الدين,1,400,252,275,336,0,400,400,400,230,230,230
3016,الوسطى,03/07/2023,صيفي,احمد رباح,شمالي,630,56,120,90,5,381,380,379,217,220,218
3016,الوسطى,03/07/2023,صيفي,احمد رباح,شرقي,630,78,68,98,0,381,380,379,217,220,218
3016,الوسطى,03/07/2023,صيفي,احمد رباح,جنوبي,630,52,45,66,0,381,380,379,217,220,218
3016,الوسطى,03/07/2023,صيفي,افراز ابو سليم,شمالي,630,208,204,140,66,379,384,380,221,220,219
3016,الوسطى,03/07/2023,صيفي,افراز ابو سليم,شرقي,630,12,35,20,25,379,384,380,221,220,219
3165,الوسطى,06/08/2023,صيفي,الاقصى سكان,شمالي,630,40,67,68,0,416,415,416,240,241,241
3165,الوسطى,06/08/2023,صيفي,الاقصى سكان,غربي,400,110,145,102,0,416,415,416,240,241,241
3165,الوسطى,06/08/2023,صيفي,الاقصى سكان,جنوبي,630,75,30,30,0,416,415,416,240,241,241
3156,الوسطى,02/08/2023,صيفي,البحيصي,شمالي,630,85,95,100,50,383,390,391,223,223,223
3156,الوسطى,02/08/2023,صيفي,البحيصي,جنوبي,630,100,70,145,55,383,390,391,223,223,223
3016,الوسطى,03/07/2023,صيفي,البخاري,شمالي,630,126,84,116,44,380,386,381,218,216,221
3016,الوسطى,03/07/2023,صيفي,البخاري,شرقي,630,64,73,50,27,380,386,381,218,216,221
3016,الوسطى,03/07/2023,صيفي,البخاري,جنوبي,400,0,0,0,0,380,386,381,218,216,221
3039,الوسطى,11/07/2023,صيفي,البركة,شمالي,630,93,8,19,2,385,384,386,221,216,219
3039,الوسطى,11/07/2023,صيفي,البركة,شرقي,630,53,61,86,37,385,384,386,221,216,219
3039,الوسطى,11/07/2023,صيفي,البركة,غربي,630,82,123,100,0,385,384,386,221,216,219
3039,الوسطى,11/07/2023,صيفي,البركة,جنوبي,630,64,56,45,18,385,384,386,221,216,219
3034,الوسطى,09/07/2023,صيفي,البروك,شمالي,250,30,33,57,0,400,400,400,230,230,230
3034,الوسطى,09/07/2023,صيفي,البروك,غربي,400,66,44,82,15,400,400,400,230,230,230
3034,الوسطى,09/07/2023,صيفي,البروك,جنوبي,400,81,115,41,18,400,400,400,230,230,230
3049,الوسطى,11/07/2023,صيفي,البلد,لوحة سكادا ض.م,400,143,70,110,97,388,384,391,223,225,227
3049,الوسطى,11/07/2023,صيفي,البلد,لوحة سكادا ض.م,400,137,113,107,67,388,384,391,223,225,227
3049,الوسطى,11/07/2023,صيفي,البلد,لوحة سكادا ض.م,400,122,184,120,100,388,384,391,223,225,227
3049,الوسطى,11/07/2023,صيفي,البلد,لوحة سكادا ض.م,400,63,18,126,106,388,384,391,223,225,227
3049,الوسطى,11/07/2023,صيفي,البلد,لوحة سكادا ض.م,400,24,18,5,0,388,384,391,223,225,227
3164,الوسطى,05/07/2023,صيفي,البنا,شمالي,400,0,0,0,0,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,البنا,شرقي,630,50,35,55,20,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,البنا,غربي,630,65,50,75,30,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,البنا,جنوبي,630,25,55,25,30,400,400,400,230,230,230
3156,الوسطى,02/08/2023,صيفي,البيت الذهبي,1,400,10,6,20,7,390,390,387,222,219,223
3156,الوسطى,02/08/2023,صيفي,البيت الذهبي,2,400,15,5,7,0,390,390,387,222,219,223
3156,الوسطى,02/08/2023,صيفي,البيت الذهبي,3,400,25,0,0,0,390,390,387,222,219,223
3093,الوسطى,19/07/2023,صيفي,البيت الذهبي,1,400,38,47,71,24,385,385,385,220,225,223
3093,الوسطى,19/07/2023,صيفي,البيئة,شمالي,630,3,85,15,65,385,386,377,223,219,219
3093,الوسطى,19/07/2023,صيفي,البيئة,شرقي,630,130,67,110,50,385,386,377,223,219,219
3093,الوسطى,19/07/2023,صيفي,البيئة,غربي,630,30,62,25,40,385,386,377,223,219,219
3093,الوسطى,19/07/2023,صيفي,البيئة,جنوبي,630,105,160,70,80,385,386,377,223,219,219
3228,الوسطى,20/08/2023,صيفي,التاهيل - كراج المعسكر,شمالي,400,49,190,120,120,380,380,380,215,215,216
3228,الوسطى,20/08/2023,صيفي,التاهيل - كراج المعسكر,شرقي,630,155,150,280,120,380,380,380,215,215,216
3228,الوسطى,20/08/2023,صيفي,التاهيل - كراج المعسكر,غربي,630,110,60,75,50,380,380,380,215,215,216
3049,الوسطى,11/07/2023,صيفي,التحلية - جامع ابو سليم,لوحة سكادا ض.م,400,84,85,60,35,390,385,391,227,224,223
3049,الوسطى,11/07/2023,صيفي,التحلية - جامع ابو سليم,لوحة سكادا ض.م,400,152,108,89,50,390,385,391,227,224,223
3049,الوسطى,11/07/2023,صيفي,التحلية - جامع ابو سليم,لوحة سكادا ض.م,400,45,18,54,42,390,385,391,227,224,223
3146,الوسطى,02/08/2023,صيفي,التل الاخضر - ابو حجير,شرقي,630,14,7,1,14,400,400,400,230,230,230
3146,الوسطى,02/08/2023,صيفي,التل الاخضر - ابو حجير,غربي,630,54,61,60,13,400,400,400,230,230,230
3146,الوسطى,02/08/2023,صيفي,التل الاخضر - ابو حجير,جنوبي,630,95,138,75,57,400,400,400,230,230,230
3214,الوسطى,15/08/2023,صيفي,التموين,جنوبي,400,38,51,54,17,402,402,402,231,231,231
3214,الوسطى,15/08/2023,صيفي,التموين,1,400,9,13,13,15,402,402,402,231,231,231
3214,الوسطى,15/08/2023,صيفي,التموين,2,400,125,130,107,40,402,402,402,231,231,231
3214,الوسطى,15/08/2023,صيفي,التموين,3,400,82,70,90,30,402,402,402,231,231,231
3049,الوسطى,11/07/2023,صيفي,الحدبة,لوحة سكادا ض.م,400,50,55,50,15,378,371,379,220,220,220
3049,الوسطى,11/07/2023,صيفي,الحدبة,لوحة سكادا ض.م,400,40,72,86,35,378,371,379,220,220,220
3049,الوسطى,11/07/2023,صيفي,الحدبة,لوحة سكادا ض.م,400,4,6,2,5,378,371,379,220,220,220
3049,الوسطى,11/07/2023,صيفي,الحدبة,لوحة سكادا ض.م,400,26,7,2,20,378,371,379,220,220,220
3086,الوسطى,17/07/2023,صيفي,الحكر - السويركي,شمالي,630,180,122,160,0,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,الحكر - السويركي,شرقي,630,0,0,0,0,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,الحكر - السويركي,غربي,630,0,0,0,0,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,الحكر - السويركي,جنوبي,630,160,92,117,0,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,الحكر - السويركي,غربي اضافية,630,105,80,70,0,400,400,400,230,230,230
3093,الوسطى,19/07/2023,صيفي,السلام,لوحة سكادا ض.م,400,2,1,5,0,380,380,380,220,220,220
3093,الوسطى,19/07/2023,صيفي,السلام,لوحة سكادا ض.م,400,185,142,45,117,380,380,380,220,220,220
3093,الوسطى,19/07/2023,صيفي,السلام,لوحة سكادا ض.م,400,107,95,218,118,380,380,380,220,220,220
3039,الوسطى,11/07/2023,صيفي,السلقاوي,شمالي,630,93,57,126,55,373,369,371,205,209,206
3039,الوسطى,11/07/2023,صيفي,السلقاوي,شرقي,630,114,151,127,50,373,369,371,205,209,206
3039,الوسطى,11/07/2023,صيفي,السلقاوي,جنوبي,630,130,41,64,85,373,369,371,205,209,206
3164,الوسطى,05/07/2023,صيفي,الشارع التجاري,شمالي,630,65,35,60,30,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,الشارع التجاري,شرقي,630,70,50,80,25,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,الشارع التجاري,غربي,630,70,45,50,35,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,الشارع التجاري,جنوبي,630,95,95,140,45,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,الشيخ داوود,شمالي,400,65,60,15,42,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,الشيخ داوود,شرقي,630,125,145,65,65,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,الشيخ داوود,غربي,630,45,55,80,30,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,الشيخ داوود,جنوبي,400,100,130,140,40,400,400,400,230,230,230
3179,الوسطى,08/08/2023,صيفي,المحطة - ابو مصبح,1,400,80,90,190,130,375,375,375,214,215,214
3179,الوسطى,08/08/2023,صيفي,المحطة - ابو مصبح,2,400,15,30,42,20,375,375,375,214,215,214
3179,الوسطى,08/08/2023,صيفي,المحطة - ابو مصبح,3,400,10,21,16,10,375,375,375,214,215,214
3179,الوسطى,08/08/2023,صيفي,المحطة - ابو مصبح,4,400,102,80,30,56,375,375,375,214,215,214
3086,الوسطى,17/07/2023,صيفي,المزرعة,شمالي,630,53,65,95,0,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,المزرعة,شرقي,400,8,35,15,52,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,المزرعة,غربي,400,75,210,53,0,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,المزرعة,جنوبي,630,125,80,80,0,400,400,400,230,230,230
3034,الوسطى,09/07/2023,صيفي,المشاعلة,شمالي,400,143,59,136,0,381,375,381,217,219,218
3034,الوسطى,09/07/2023,صيفي,المشاعلة,شرقي,630,104,194,94,0,381,375,381,217,219,218
3034,الوسطى,09/07/2023,صيفي,المشاعلة,غربي,400,77,61,82,0,381,375,381,217,219,218
3034,الوسطى,09/07/2023,صيفي,المشاعلة,جنوبي,400,105,135,95,28,381,375,381,217,219,218
3140,الوسطى,31/07/2023,صيفي,النجار (البصة) جامع الرباط,شمالي,630,84,104,65,42,381,388,389,222,223,227
3140,الوسطى,31/07/2023,صيفي,النجار (البصة) جامع الرباط,غربي,630,39,2,0,27,381,388,389,222,223,227
3140,الوسطى,31/07/2023,صيفي,النجار (البصة) جامع الرباط,جنوبي,630,133,160,120,76,381,388,389,222,223,227
3164,الوسطى,05/07/2023,صيفي,النجار (البصة) جامع الرباط,شمالي,630,40,80,45,35,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,النجار (البصة) جامع الرباط,غربي,630,20,10,5,15,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,النجار (البصة) جامع الرباط,جنوبي,630,130,90,60,60,400,400,400,230,230,230
3140,الوسطى,31/07/2023,صيفي,النخالة,شمالي,630,106,100,78,30,376,369,378,215,218,221
3140,الوسطى,31/07/2023,صيفي,النخالة,شرقي,630,15,17,38,28,376,369,378,215,218,221
3140,الوسطى,31/07/2023,صيفي,النخالة,غربي,630,78,47,76,24,376,369,378,215,218,221
